ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,duration
50FDAD247DDE6186,electric_bike,2023-07-31 08:18:34,2023-08-01 09:18:29,Grand St & 14 St,HB506,,,40.75409,-74.0316,,,casual,1499.9166666666665
ACD2B9938A46612D,classic_bike,2023-07-31 12:56:56,2023-08-01 13:56:52,Monmouth and 6th,JC075,,,40.72568548362901,-74.04879033565521,,,casual,1499.9333333333334
48A7EC86459140E8,electric_bike,2023-07-20 12:01:38,2023-07-21 13:01:18,7 St & Monroe St,HB304,,,40.74641264837719,-74.03797701001167,,,casual,1499.6666666666665
5EF9D01B0347426D,classic_bike,2023-07-03 13:55:26,2023-07-03 16:28:41,4 St & Grand St,HB301,,,40.7422579775645,-74.03511106967926,,,member,153.25
01293BC0EC81F35F,docked_bike,2023-07-01 18:45:51,2023-07-02 19:45:52,Lafayette Park,JC078,,,40.713464,-74.062859,,,casual,1500.0166666666667
A24BA5787AB0C290,classic_bike,2023-07-30 07:31:47,2023-07-31 08:31:27,Hoboken Ave at Monmouth St,JC105,,,40.73520838045357,-74.04696375131607,,,member,1499.6666666666665
A81F8FADB49596B8,classic_bike,2023-07-31 08:15:19,2023-08-01 09:15:14,Hoboken Ave at Monmouth St,JC105,,,40.73520838045357,-74.04696375131607,,,casual,1499.9166666666665
29CE6908B57296DA,classic_bike,2023-07-31 19:13:19,2023-08-01 20:13:14,South Waterfront Walkway - Sinatra Dr & 1 St,HB103,,,40.73698221818716,-74.02778059244156,,,member,1499.9166666666665
9D3099E0213B7F37,classic_bike,2023-07-25 12:04:16,2023-07-26 13:04:11,11 St & Washington St,HB502,,,40.74998490907138,-74.02715027332306,,,casual,1499.9166666666665
2527900FF98B3F4A,classic_bike,2023-07-03 23:32:57,2023-07-05 00:32:54,11 St & Washington St,HB502,,,40.74998490907138,-74.02715027332306,,,casual,1499.95
10EFB2578AC99B45,electric_bike,2023-07-12 19:23:53,2023-07-13 20:23:40,11 St & Washington St,HB502,,,40.74998490907138,-74.02715027332306,,,casual,1499.7833333333333
5E4E000BC19FC53D,classic_bike,2023-07-19 16:14:39,2023-07-20 17:14:34,6 St & Grand St,HB302,,,40.7443978330956,-74.03450086712837,,,casual,1499.9166666666665
07485B05F0B510CC,electric_bike,2023-07-06 20:57:58,2023-07-07 21:57:54,Hudson St & 4 St,HB607,,,40.74097260864355,-74.02860336005688,,,casual,1499.9333333333334
6A17DF584DEB235B,classic_bike,2023-07-28 00:32:00,2023-07-29 01:31:54,8 St & Washington St,HB603,,,40.74598388291562,-74.02819901704788,,,casual,1499.9
3CF31C72D1797C60,classic_bike,2023-07-31 22:11:48,2023-08-01 23:11:42,8 St & Washington St,HB603,,,40.74598388291562,-74.02819901704788,,,casual,1499.9
183421877BD28935,classic_bike,2023-07-30 20:16:11,2023-07-31 21:16:07,8 St & Washington St,HB603,,,40.74598388291562,-74.02819901704788,,,casual,1499.9333333333334
B7E423E4EA1CDF60,classic_bike,2023-07-17 11:43:07,2023-07-18 12:42:57,Columbus Park - Clinton St & 9 St,HB501,,,40.74816121065146,-74.0324530005455,,,member,1499.8333333333335
4BF5242101BEB4C9,classic_bike,2023-07-01 00:56:30,2023-07-02 01:56:25,Columbus Park - Clinton St & 9 St,HB501,,,40.74816121065146,-74.0324530005455,,,casual,1499.9166666666665
892627DD6C3685D1,classic_bike,2023-07-13 05:21:51,2023-07-14 06:21:40,Columbus Park - Clinton St & 9 St,HB501,,,40.74816121065146,-74.0324530005455,,,casual,1499.8166666666666
CA92B088026563AF,classic_bike,2023-07-30 18:31:15,2023-07-31 19:31:04,Lincoln Park,JC053,,,40.7246050998869,-74.07840594649315,,,casual,1499.8166666666666
553E58D969AAA9A8,classic_bike,2023-07-30 23:33:20,2023-08-01 00:33:15,Columbus Park - Clinton St & 9 St,HB501,,,40.74816121065146,-74.0324530005455,,,casual,1499.9166666666665
6B9BB136AE67E427,electric_bike,2023-07-26 19:55:22,2023-07-27 20:55:18,Lincoln Park,JC053,,,40.7246050998869,-74.07840594649315,,,casual,1499.9333333333334
FFBAAE6C609D2A18,classic_bike,2023-07-11 14:56:04,2023-07-11 16:33:05,Columbus Park - Clinton St & 9 St,HB501,,,40.74816121065146,-74.0324530005455,,,member,97.01666666666667
7D97B751CE66717E,classic_bike,2023-07-26 08:27:53,2023-07-27 09:27:46,Columbus Park - Clinton St & 9 St,HB501,,,40.74816121065146,-74.0324530005455,,,member,1499.8833333333334
